# Time-averaged data for fix PEAve
# TimeStep v_PotEn
53100 -20085.9
53200 -20077.5
53300 -20099.4
53400 -20057.3
53500 -20067.3
53600 -20096.1
53700 -20126.3
53800 -20127.8
53900 -20076.7
54000 -20060.5
54100 -20064.1
54200 -20099.4
54300 -20128.2
54400 -20127.8
54500 -20091
54600 -20076.3
54700 -20083.4
54800 -20062.7
54900 -20089.6
55000 -20118
55100 -20129.8
55200 -20096.9
55300 -20049.4
55400 -20031.9
55500 -20033.1
55600 -20107.2
55700 -20144.5
55800 -20150.2
55900 -20120.6
56000 -20132.2
56100 -20097.6
56200 -20126.5
56300 -20175.8
56400 -20146.8
56500 -20108.8
56600 -20071.9
56700 -20054.9
56800 -20003.2
56900 -19958
57000 -20034.8
57100 -20106.5
57200 -20079.4
57300 -20093.7
57400 -20045
57500 -20010.6
57600 -19958.2
57700 -19988.1
57800 -20051.9
57900 -20012.4
58000 -20048.4
58100 -20014.3
58200 -20059.2
58300 -20103.4
58400 -20148.7
58500 -20109.6
58600 -20065
58700 -20044.7
58800 -20064.2
58900 -20089.8
59000 -20088.9
59100 -20033.9
59200 -20039.7
59300 -20074.9
59400 -20161.3
59500 -20131.8
59600 -20035.5
59700 -20046.6
59800 -20019.5
59900 -20043.4
60000 -20075.5
60100 -20166.2
60200 -20124.5
60300 -20102.6
60400 -20091.9
60500 -20091.1
60600 -20112.9
60700 -20122.8
60800 -20175
60900 -20096.2
61000 -20029.1
61100 -20016.9
61200 -20054.7
61300 -20031.3
61400 -20068.6
61500 -20050.7
61600 -20057.5
61700 -20070
61800 -20074.2
61900 -20097.6
62000 -20019.2
62100 -20023.5
62200 -20031.2
62300 -20074
62400 -20113.8
62500 -20092.5
62600 -20105.1
62700 -20113.6
62800 -20147.6
62900 -20136.6
63000 -20062.5
63100 -20021.3
63200 -19983.2
63300 -19997.7
63400 -19997.8
63500 -20019.3
63600 -20091.9
63700 -20131.7
63800 -20089.6
63900 -20081
64000 -19987.2
64100 -20017.9
64200 -20012.4
64300 -20026.1
64400 -20017.5
64500 -19996.7
64600 -19983.8
64700 -20009.8
64800 -20090.5
64900 -20047
65000 -20016.6
65100 -20027.8
65200 -20017.2
65300 -20023.7
65400 -20083.6
65500 -20081.1
65600 -20104.9
65700 -20102.5
65800 -20069.2
65900 -20069.5
66000 -20047.4
66100 -20090.2
66200 -20087.2
66300 -20028.8
66400 -19976.2
66500 -19977.9
66600 -20047.2
66700 -20132.8
66800 -20102.1
66900 -20096.6
67000 -20060.8
67100 -20072.9
67200 -20113.2
67300 -20154
67400 -20149.1
67500 -20116.2
67600 -20045.4
67700 -19989.1
67800 -19954.3
67900 -19967.3
68000 -20002.5
68100 -20027.3
68200 -20017.1
68300 -20016.7
68400 -19964.9
68500 -20018.3
68600 -20075.8
68700 -20100.9
68800 -20081.3
68900 -20071.3
69000 -20012.9
69100 -19991.2
69200 -20057.7
69300 -20075.4
69400 -20072.3
69500 -20085.1
69600 -20014.5
69700 -20049.7
69800 -20041.7
69900 -20054.2
70000 -20045.9
70100 -20031.1
70200 -20016.1
70300 -20065.9
70400 -20118.7
70500 -20131.6
70600 -20131.5
70700 -20078.9
70800 -20026
70900 -20019.4
71000 -20023.5
71100 -20079.8
71200 -20075.6
71300 -20073.8
71400 -20057.3
71500 -20003.6
71600 -20045.7
71700 -20088.3
71800 -20115
71900 -20044.3
72000 -19964.3
72100 -20015.6
72200 -20043.3
72300 -20084
72400 -20079.8
72500 -20018.8
72600 -19950.3
72700 -19977.9
72800 -20029.9
72900 -20062.6
73000 -20095.7
73100 -20098.6
73200 -20097
73300 -20059.6
73400 -20010.7
73500 -20028.5
73600 -20041.7
73700 -20056
73800 -20064.9
73900 -20068.5
74000 -20057.1
74100 -20089.6
74200 -20117.6
74300 -20112.8
74400 -20086.9
74500 -20041.5
74600 -20051.9
74700 -20076.4
74800 -20051.1
74900 -20051.5
75000 -20049
75100 -20023.2
75200 -20023
75300 -20062.8
75400 -20002.9
75500 -20018.8
75600 -19988.6
75700 -19957.2
75800 -20009.4
75900 -20049.5
76000 -20065
76100 -20082.4
76200 -20105.3
76300 -20145.4
76400 -20140.5
76500 -20101.2
76600 -20055
76700 -20074.7
76800 -20078.1
76900 -20127.6
77000 -20176.4
77100 -20209.5
77200 -20193.6
77300 -20146.2
77400 -20120.2
77500 -20061.8
77600 -19994.6
77700 -19971.8
77800 -20046.5
77900 -20085.8
78000 -20086.7
78100 -20086.4
78200 -20064.2
78300 -20024
78400 -20076.2
78500 -20050.2
78600 -20056.9
78700 -20029
78800 -20044.7
78900 -20072.7
79000 -20120.5
79100 -20085.9
79200 -20049.4
79300 -20025.3
79400 -20092.5
79500 -20126.8
79600 -20099
79700 -20033.9
79800 -19985
79900 -20024
80000 -20045.1
80100 -20035.5
80200 -20014.8
80300 -20043.7
80400 -20048.6
80500 -20058
80600 -20091.9
80700 -20096.8
80800 -20032.9
80900 -19993.4
81000 -19956.3
81100 -19977.4
81200 -20051.9
81300 -20092.5
81400 -20084.8
81500 -20046.5
81600 -20003.7
81700 -19989.1
81800 -20046.3
81900 -20037.3
82000 -20041
82100 -20044.2
82200 -20006.1
82300 -19961.3
82400 -19977.4
82500 -19999.6
82600 -20075.4
82700 -20053.8
82800 -20035.1
82900 -20001.8
83000 -19990.6
83100 -19999.4
83200 -19962.8
83300 -19998.9
83400 -20007.1
83500 -20105
83600 -20135.7
83700 -20097.3
83800 -20076.1
83900 -20060.1
84000 -20085.9
84100 -20117.2
84200 -20124.8
84300 -20079.3
84400 -20089
84500 -20066.7
84600 -20032.1
84700 -19982.2
84800 -19976.9
84900 -20027.7
85000 -20067.8
85100 -20082.9
85200 -20083.1
85300 -20054.7
85400 -20108.2
85500 -20146.1
85600 -20136.8
85700 -20096.4
85800 -20077.1
85900 -20071
86000 -20080.1
86100 -20101
86200 -20157.6
86300 -20157.5
86400 -20112.3
86500 -20090.3
86600 -20045.6
86700 -20091.1
86800 -20016.7
86900 -20053.8
87000 -20058.3
87100 -20046.4
87200 -20095
87300 -20090.7
87400 -20085.4
87500 -20048.6
87600 -20078.7
87700 -20111.2
87800 -20122.6
87900 -20108.2
88000 -20105.6
88100 -20013.8
88200 -20029.7
88300 -20071.1
88400 -20093.7
88500 -20096.2
88600 -20070.5
88700 -20011.1
88800 -19953
88900 -19989.2
89000 -20036.4
89100 -20047.2
89200 -20063.1
89300 -20086.8
89400 -20103.4
89500 -20118.3
89600 -20044.2
89700 -20039.2
89800 -19999.8
89900 -20036.9
90000 -20053.1
90100 -20071.3
90200 -20085.9
90300 -20006.1
90400 -20014
90500 -19981.4
90600 -20007.8
90700 -20054.1
90800 -20147.5
90900 -20148
91000 -20148.4
91100 -20070.7
91200 -19994
91300 -19974.8
91400 -19984.9
91500 -20018.8
91600 -20006.7
91700 -19994.1
91800 -19972.1
91900 -19893.1
92000 -19870.1
92100 -19911.9
92200 -19925.5
92300 -19995.9
92400 -20038.3
92500 -20082
92600 -20103.1
92700 -20058.1
92800 -20026.7
92900 -19985.3
93000 -19971.4
93100 -19994.2
93200 -20031.2
93300 -20073.6
93400 -19998.6
93500 -20047.5
93600 -20031.6
93700 -20044.8
93800 -20075.2
93900 -20065
94000 -20133.7
94100 -20149.7
94200 -20102
94300 -20084.5
94400 -20039
94500 -20045.2
94600 -20035.9
94700 -20046.9
94800 -20013
94900 -20101.7
95000 -20144.9
95100 -20155.8
95200 -20127.1
95300 -20136.5
95400 -20089.8
95500 -20067.3
95600 -20038.3
95700 -20031.3
95800 -20132.7
95900 -20131.8
96000 -20136.4
96100 -20139.3
96200 -20083.2
96300 -20022.7
96400 -20030.4
96500 -20033
96600 -20038.2
96700 -20104.9
96800 -20118.8
96900 -20084.8
97000 -20044
97100 -20050.7
97200 -20028.8
97300 -20038.7
97400 -20006.8
97500 -19965.8
97600 -20005.4
97700 -20011.1
97800 -20046.8
97900 -20105.1
98000 -20116.6
98100 -20041.8
98200 -20039.1
98300 -20034.8
98400 -20116.8
98500 -20159.2
98600 -20123.5
98700 -20092.2
98800 -20108.4
98900 -20076.3
99000 -20048
99100 -20022.5
99200 -20016.3
99300 -20067.5
99400 -20057.5
99500 -20082.6
99600 -20091.8
99700 -20067
99800 -20020.3
99900 -20044.6
100000 -20031.1
100100 -20049
100200 -20049.4
100300 -20014.6
100400 -19986.1
100500 -19938.5
100600 -19993.8
100700 -20019.4
100800 -20026.7
100900 -20086.9
101000 -20111.5
101100 -20136.7
101200 -20114.2
101300 -20056.1
101400 -20021.9
101500 -19978.4
101600 -20000.7
101700 -19984.9
101800 -20074.8
101900 -20128
102000 -20157.1
102100 -20070.3
102200 -20091.3
102300 -20049.5
102400 -20034.1
102500 -19993.9
102600 -19981.1
102700 -20007.6
102800 -20001.7
102900 -19997.2
103000 -19975.9
103100 -19974.9
103200 -19965.7
103300 -19981.7
103400 -19985.4
103500 -20064.4
103600 -20102.3
103700 -20134.8
103800 -20085
103900 -20012.5
104000 -20050
104100 -20067.7
104200 -20062.1
104300 -20051.3
104400 -20009.9
104500 -20023.3
104600 -20067.1
104700 -20143.5
104800 -20123.7
104900 -20116.8
105000 -20094.3
105100 -20101.3
105200 -20139.7
105300 -20169
