# Radius 	finiterdf__wat_wat	rdf__wat_wat	finiterdf__wat_met	rdf__wat_met	finiterdf__met_met	rdf__met_met	
4.0408 0.940245	0.945579	0.900099	0.897907	0.857327	0.856376	
4.05097 0.947723	0.953095	0.908902	0.906681	0.866889	0.865917	
4.06114 0.95811	0.963537	0.917498	0.915249	0.877211	0.876218	
4.0713 0.956276	0.96169	0.928726	0.926444	0.885839	0.884826	
4.08147 0.978789	0.984329	0.925643	0.923361	0.890117	0.88909	
4.09163 0.97194	0.977439	0.92793	0.925637	0.919484	0.918417	
4.1018 0.981566	0.987119	0.939314	0.936987	0.908067	0.907006	
4.11196 0.982071	0.987625	0.946683	0.944333	0.919675	0.918593	
4.12213 0.984907	0.990476	0.951655	0.949288	0.925201	0.924106	
4.13229 0.999104	1.00475	0.974697	0.972271	0.941539	0.94042	
4.14246 1.00063	1.00628	0.976911	0.974476	0.956909	0.955767	
4.15263 0.998736	1.00439	0.980955	0.978509	0.96566	0.964505	
4.16279 0.999705	1.00536	0.985945	0.983484	0.968233	0.967072	
4.17296 0.999046	1.0047	0.999217	0.996723	0.981506	0.980327	
4.18312 1.01621	1.02196	1.00233	0.999826	0.986847	0.98566	
4.19329 1.02649	1.0323	1.00609	1.00358	0.992395	0.991201	
4.20345 1.02847	1.0343	1.02788	1.02532	1.00607	1.00486	
4.21362 1.02801	1.03384	1.01269	1.01016	1.01413	1.01291	
4.22378 1.03064	1.03649	1.03246	1.02989	1.02621	1.02498	
4.23395 1.03819	1.04408	1.03068	1.02812	1.03414	1.0329	
4.24412 1.04334	1.04926	1.04076	1.03817	1.03861	1.03737	
4.25428 1.05207	1.05806	1.04674	1.04415	1.05388	1.05263	
4.26445 1.05548	1.06149	1.06004	1.05742	1.06324	1.06198	
4.27461 1.05209	1.05809	1.06487	1.06224	1.07311	1.07185	
4.28478 1.05816	1.0642	1.06832	1.06569	1.08343	1.08216	
4.29494 1.05971	1.06577	1.07146	1.06883	1.09209	1.09082	
4.30511 1.06789	1.07399	1.07152	1.06889	1.1064	1.10513	
4.31527 1.07028	1.07641	1.0877	1.08505	1.09563	1.09439	
4.32544 1.07563	1.0818	1.09393	1.09127	1.11331	1.11205	
4.33561 1.07981	1.08601	1.09862	1.09596	1.12342	1.12217	
4.34577 1.08135	1.08757	1.09766	1.09502	1.12924	1.12799	
4.35594 1.08431	1.09056	1.10938	1.10672	1.13078	1.12955	
4.3661 1.08389	1.09015	1.11843	1.11576	1.14763	1.1464	
4.37627 1.087	1.09329	1.12359	1.12093	1.14884	1.14762	
4.38643 1.10079	1.10716	1.1205	1.11785	1.14801	1.14681	
4.3966 1.09598	1.10234	1.13075	1.1281	1.17098	1.16978	
4.40676 1.09476	1.10113	1.13275	1.1301	1.17781	1.17663	
4.41693 1.10465	1.11109	1.12752	1.12491	1.18174	1.18057	
4.4271 1.10444	1.11089	1.1381	1.13548	1.18747	1.18632	
4.43726 1.10897	1.11546	1.14266	1.14004	1.19537	1.19424	
4.44743 1.11881	1.12537	1.15534	1.15271	1.19954	1.19843	
4.45759 1.10721	1.11372	1.15954	1.15692	1.20504	1.20396	
4.46776 1.12073	1.12733	1.15667	1.15408	1.20243	1.20137	
4.47792 1.11743	1.12403	1.16636	1.16377	1.22174	1.22069	
4.48809 1.12139	1.12803	1.16504	1.16248	1.22422	1.2232	
4.49825 1.12318	1.12985	1.17183	1.16927	1.22955	1.22856	
4.50842 1.12219	1.12887	1.16929	1.16676	1.2316	1.23064	
4.51859 1.12724	1.13396	1.17336	1.17083	1.23233	1.2314	
4.52875 1.13284	1.13961	1.17817	1.17566	1.24419	1.24329	
4.53892 1.12736	1.13412	1.18217	1.17968	1.25241	1.25154	
4.54908 1.12866	1.13545	1.18019	1.17772	1.24213	1.2413	
4.55925 1.13329	1.14012	1.18401	1.18156	1.25559	1.25478	
4.56941 1.13692	1.14379	1.18933	1.18689	1.27353	1.27276	
4.57958 1.13648	1.14336	1.19083	1.18841	1.26604	1.26531	
4.58974 1.14504	1.152	1.18546	1.18308	1.27064	1.26994	
4.59991 1.13616	1.14308	1.18858	1.18622	1.28248	1.28182	
4.61008 1.14141	1.14838	1.19321	1.19087	1.28187	1.28125	
4.62024 1.14144	1.14843	1.20101	1.19869	1.28661	1.28603	
4.63041 1.13182	1.13878	1.19301	1.19073	1.28616	1.28562	
4.64057 1.14207	1.14911	1.18761	1.18536	1.28449	1.28399	
4.65074 1.1476	1.1547	1.20369	1.20144	1.28895	1.2885	
4.6609 1.15061	1.15774	1.2007	1.19849	1.28717	1.28677	
4.67107 1.14814	1.15528	1.20363	1.20144	1.29729	1.29693	
4.68123 1.14196	1.14909	1.20256	1.2004	1.29052	1.29021	
4.6914 1.13548	1.14258	1.20469	1.20255	1.30041	1.30014	
4.70157 1.14108	1.14823	1.20703	1.20492	1.28512	1.2849	
4.71173 1.143	1.15019	1.2035	1.20142	1.2905	1.29032	
4.7219 1.13624	1.14341	1.19934	1.1973	1.2971	1.29697	
4.73206 1.1403	1.14751	1.19471	1.19271	1.30961	1.30953	
4.74223 1.13637	1.14357	1.19809	1.19611	1.2964	1.29637	
4.75239 1.13415	1.14136	1.19662	1.19467	1.30391	1.30393	
4.76256 1.1365	1.14375	1.18783	1.18592	1.29082	1.29088	
4.77272 1.14144	1.14874	1.19263	1.19074	1.28987	1.28998	
4.78289 1.13303	1.1403	1.18802	1.18617	1.29023	1.29038	
4.79306 1.13478	1.14208	1.18721	1.18539	1.29132	1.29152	
4.80322 1.14165	1.14902	1.18564	1.18384	1.29141	1.29165	
4.81339 1.13151	1.13884	1.18263	1.18087	1.29151	1.2918	
4.82355 1.13148	1.13883	1.17641	1.17468	1.2756	1.27594	
4.83372 1.13906	1.14647	1.17655	1.17485	1.27753	1.27791	
4.84388 1.14083	1.14828	1.18218	1.1805	1.28611	1.28654	
4.85405 1.13131	1.13871	1.17014	1.1685	1.28626	1.28674	
4.86421 1.128	1.1354	1.16681	1.1652	1.27958	1.2801	
4.87438 1.12943	1.13687	1.16537	1.16379	1.27831	1.27888	
4.88455 1.13397	1.14145	1.16181	1.16026	1.28013	1.28075	
4.89471 1.12614	1.13359	1.16639	1.16486	1.27211	1.27277	
4.90488 1.12397	1.13143	1.15835	1.15685	1.26691	1.26762	
4.91504 1.11299	1.12039	1.1566	1.15513	1.2621	1.26284	
4.92521 1.1208	1.12827	1.15404	1.1526	1.26507	1.26586	
4.93537 1.10978	1.1172	1.15312	1.1517	1.27233	1.27317	
4.94554 1.11688	1.12437	1.13336	1.13199	1.25754	1.25841	
4.9557 1.10508	1.1125	1.13505	1.13369	1.24518	1.24609	
4.96587 1.10319	1.11062	1.12976	1.12843	1.2383	1.23925	
4.97604 1.10153	1.10896	1.12824	1.12693	1.24039	1.24137	
4.9862 1.11093	1.11844	1.12414	1.12285	1.24633	1.24736	
4.99637 1.09335	1.10075	1.12843	1.12716	1.2354	1.23646	
5.00653 1.10086	1.10833	1.12031	1.11907	1.23763	1.23873	
5.0167 1.09941	1.10689	1.11173	1.11051	1.24511	1.24626	
5.02686 1.09541	1.10288	1.10685	1.10565	1.22778	1.22896	
5.03703 1.08628	1.0937	1.10255	1.10137	1.22341	1.22463	
5.04719 1.08258	1.08999	1.098	1.09684	1.23436	1.23562	
