# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
3.21836 0.332855	0.332985	0.549533	0.549474	0.919459	0.920989	
3.2345 0.327517	0.32764	0.534595	0.534532	0.891718	0.893199	
3.25063 0.324841	0.324958	0.521078	0.521011	0.868755	0.870196	
3.26676 0.321178	0.321289	0.512695	0.512624	0.849884	0.851291	
3.28289 0.32074	0.320846	0.504264	0.504188	0.832525	0.8339	
3.29903 0.320336	0.320437	0.499176	0.499095	0.819725	0.821075	
3.31516 0.321056	0.321152	0.49381	0.493724	0.808392	0.809719	
3.33129 0.323327	0.323418	0.490969	0.490877	0.798028	0.799335	
3.34742 0.326634	0.326721	0.488956	0.488859	0.790138	0.791428	
3.36355 0.330155	0.330238	0.488255	0.488152	0.783932	0.785207	
3.37969 0.334416	0.334494	0.489531	0.489421	0.779107	0.780371	
3.39582 0.340015	0.340089	0.489817	0.489701	0.775117	0.77637	
3.41195 0.344923	0.344992	0.491863	0.491741	0.772396	0.773641	
3.42808 0.351271	0.351336	0.495619	0.495489	0.772438	0.773678	
3.44421 0.358432	0.358492	0.49938	0.499243	0.769746	0.770977	
3.46035 0.366791	0.366847	0.504544	0.504399	0.769124	0.77035	
3.47648 0.374188	0.374239	0.50914	0.508987	0.770247	0.771469	
3.49261 0.381946	0.381992	0.514973	0.514813	0.771515	0.772735	
3.50874 0.391215	0.391256	0.522478	0.522308	0.772545	0.773763	
3.52488 0.402288	0.402324	0.529444	0.529265	0.776243	0.777462	
3.54101 0.411598	0.411627	0.535497	0.53531	0.778782	0.78	
3.55714 0.42269	0.422714	0.543964	0.543767	0.78085	0.782067	
3.57327 0.433663	0.433681	0.551368	0.551162	0.784977	0.786195	
3.5894 0.444645	0.444657	0.561144	0.560927	0.788398	0.789617	
3.60554 0.456436	0.45644	0.569918	0.569691	0.792196	0.793416	
3.62167 0.468181	0.468179	0.579974	0.579736	0.7973	0.798524	
3.6378 0.481401	0.481391	0.589388	0.58914	0.80248	0.803708	
3.65393 0.493765	0.493748	0.598202	0.597942	0.805557	0.806785	
3.67007 0.506988	0.506963	0.609523	0.609252	0.811121	0.812353	
3.6862 0.521539	0.521507	0.620128	0.619846	0.815591	0.816825	
3.70233 0.534139	0.534098	0.631399	0.631104	0.822209	0.823449	
3.71846 0.548803	0.548755	0.64162	0.641314	0.82808	0.829325	
3.73459 0.561931	0.561873	0.654559	0.65424	0.833076	0.834324	
3.75073 0.578263	0.578197	0.665216	0.664885	0.839285	0.840538	
3.76686 0.592237	0.592162	0.676272	0.675929	0.845259	0.846517	
3.78299 0.606926	0.606841	0.688745	0.68839	0.851256	0.852519	
3.79912 0.622143	0.622049	0.701103	0.700735	0.859874	0.861146	
3.81525 0.637693	0.63759	0.712864	0.712482	0.866494	0.867772	
3.83139 0.653501	0.653388	0.724134	0.72374	0.872626	0.87391	
3.84752 0.668695	0.668572	0.736998	0.736591	0.87981	0.881102	
3.86365 0.684776	0.684643	0.748686	0.748267	0.885605	0.886901	
3.87978 0.700693	0.70055	0.761204	0.760772	0.893311	0.894616	
3.89592 0.717051	0.716899	0.774231	0.773786	0.900563	0.901875	
3.91205 0.731703	0.731541	0.786418	0.78596	0.906373	0.907691	
3.92818 0.748388	0.748216	0.7992	0.79873	0.916487	0.917817	
3.94431 0.763966	0.763785	0.811252	0.81077	0.923508	0.924847	
3.96044 0.781936	0.781744	0.824052	0.823557	0.931098	0.932445	
3.97658 0.797413	0.797213	0.835468	0.834961	0.938387	0.939743	
3.99271 0.812171	0.811962	0.848295	0.847777	0.948094	0.949462	
4.00884 0.829224	0.829005	0.860221	0.859691	0.95435	0.955726	
4.02497 0.844888	0.844661	0.872876	0.872334	0.962407	0.963793	
4.0411 0.861109	0.860873	0.88429	0.883738	0.971579	0.972978	
4.05724 0.876731	0.876487	0.895755	0.895192	0.979478	0.980887	
4.07337 0.892902	0.89265	0.908964	0.90839	0.987848	0.989269	
4.0895 0.908809	0.908549	0.92048	0.919896	0.995018	0.99645	
4.10563 0.923244	0.922978	0.932488	0.931894	1.00352	1.00496	
4.12177 0.941274	0.941	0.943036	0.942433	1.01264	1.0141	
4.1379 0.955745	0.955466	0.955316	0.954704	1.01877	1.02023	
4.15403 0.970732	0.970448	0.966229	0.965608	1.02713	1.02861	
4.17016 0.985523	0.985234	0.9771	0.976471	1.03477	1.03626	
4.18629 0.999753	0.999459	0.987304	0.986669	1.0414	1.0429	
4.20243 1.01684	1.01654	0.998469	0.997826	1.05131	1.05283	
4.21856 1.03021	1.02991	1.00847	1.00782	1.05662	1.05815	
4.23469 1.04437	1.04406	1.02072	1.02006	1.06307	1.06461	
4.25082 1.06003	1.05973	1.02949	1.02883	1.07034	1.07189	
4.26695 1.07197	1.07167	1.03897	1.03831	1.07769	1.07926	
4.28309 1.08685	1.08654	1.04995	1.04928	1.08482	1.08641	
4.29922 1.09988	1.09957	1.05815	1.05748	1.09049	1.09208	
4.31535 1.11304	1.11273	1.06899	1.06831	1.09643	1.09803	
4.33148 1.12764	1.12734	1.07702	1.07634	1.10308	1.1047	
4.34762 1.13887	1.13857	1.08619	1.08551	1.10882	1.11046	
4.36375 1.15152	1.15122	1.09465	1.09397	1.11389	1.11554	
4.37988 1.16503	1.16474	1.10261	1.10193	1.12001	1.12168	
4.39601 1.17635	1.17606	1.11118	1.1105	1.12349	1.12517	
4.41214 1.18646	1.18618	1.11893	1.11825	1.12898	1.13067	
4.42828 1.19865	1.19837	1.12619	1.12551	1.13268	1.13439	
4.44441 1.2085	1.20824	1.13355	1.13287	1.13673	1.13845	
4.46054 1.22043	1.22018	1.1412	1.14053	1.13951	1.14123	
