# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
28100 -16201 -20043.5 297.552 -172.048
28200 -16152.6 -20021.8 299.622 -205.096
28300 -16153.8 -20021.2 299.479 -112.262
28400 -16179.6 -20035.4 298.579 -175.958
28500 -16194.1 -20037.1 297.587 -254.804
28600 -16209.4 -20071.6 299.077 -187.519
28700 -16288.8 -20075.7 293.24 -297.666
28800 -16336.5 -20121.5 293.097 -77.3343
28900 -16255.5 -20118.2 299.113 -207.747
29000 -16178.4 -20047.5 299.613 -11.8917
29100 -16176.4 -20033 298.639 136.472
29200 -16178.2 -20009.3 296.67 23.8482
29300 -16100.2 -19993.5 301.478 45.9268
29400 -16025 -19914.1 301.156 70.4991
29500 -16070 -19994 303.859 179.562
29600 -16176.1 -20053.8 300.274 195.749
29700 -16240 -20099.2 298.841 197.834
29800 -16289.1 -20094.2 294.659 -179.576
29900 -16276 -20116.3 297.379 25.7504
30000 -16179.5 -20043.1 299.186 119.626
30100 -16129 -20036.8 302.603 203.957
30200 -16171.4 -20032.4 298.983 40.4216
30300 -16214.8 -20050 296.982 250.716
30400 -16218.9 -20052.2 296.832 110.356
30500 -16211.8 -20102.1 301.251 181.244
30600 -16242.5 -20109.8 299.469 -35.0275
30700 -16291 -20133.7 297.563 -9.13152
30800 -16334.8 -20164.2 296.534 0.897562
30900 -16353 -20144.3 293.588 -85.4539
31000 -16273.3 -20136.9 299.186 -70.4012
31100 -16197.9 -20037.3 297.309 -61.1586
31200 -16143.2 -20018.3 300.073 -205.27
31300 -16105.1 -19946.4 297.453 -73.8308
31400 -16028.7 -19943.7 303.167 -33.041
31500 -16007.9 -19927.7 303.534 191.342
31600 -16116.3 -19955.1 297.263 80.5978
31700 -16182.8 -20054.6 299.821 35.0904
31800 -16257.4 -20107.2 298.113 219.886
31900 -16296.8 -20125.1 296.447 341.453
32000 -16281.3 -20094.7 295.296 78.8084
32100 -16186.3 -20045.1 298.814 36.2278
32200 -16132.5 -20022.3 301.21 180.197
32300 -16169.6 -20015.6 297.82 22.643
32400 -16202.1 -20043.5 297.463 244.307
32500 -16230.3 -20053.6 296.056 115.691
32600 -16286.6 -20126.1 297.318 -115.311
32700 -16358.9 -20179.9 295.885 27.4648
32800 -16388.7 -20191.5 294.471 22.8874
32900 -16323.8 -20164 297.371 54.3868
33000 -16224.8 -20077.2 298.316 232.349
33100 -16184.9 -20019.2 296.914 -119.413
33200 -16135.4 -20033.8 301.876 151.183
33300 -16154.1 -20014.3 298.92 233.574
33400 -16266.4 -20073.3 294.794 -127.798
33500 -16281.6 -20076.1 293.834 -210.406
33600 -16226.9 -20133.5 302.51 104.931
33700 -16260.6 -20100 297.305 -17.6811
33800 -16317.1 -20072.7 290.815 -18.0708
33900 -16245.7 -20031 293.126 118.099
34000 -16126.5 -20005.5 300.376 188.624
34100 -16106 -19998.3 301.402 265.691
34200 -16173.7 -20018.8 297.754 -5.62308
34300 -16218.6 -20013.2 293.842 -25.1593
34400 -16170.6 -20034 299.173 146.112
