# Time-averaged data for fix TempAve
# TimeStep c_T
71100 298.304
71200 296.058
71300 303.362
71400 299.756
71500 296.638
71600 296.883
71700 299.824
71800 293.613
71900 290.774
72000 299.841
72100 296.573
72200 300.704
72300 298.275
72400 294.951
72500 294.946
72600 299.519
72700 300.309
72800 302.457
72900 299.64
73000 296.852
73100 293.974
73200 299.787
73300 298.141
73400 301.788
73500 301.955
73600 303.825
73700 297.288
73800 297.324
73900 299.258
74000 296.979
74100 293.172
74200 292.149
74300 297.037
74400 295.449
74500 299.176
74600 299.794
74700 296.542
74800 291.095
74900 296.49
75000 297.69
75100 297.826
75200 295.647
75300 301.334
75400 303.42
75500 301.15
75600 295.431
75700 299.069
75800 296.925
75900 293.909
76000 294.346
76100 298.324
76200 300.237
76300 297.838
76400 295.05
76500 297.102
76600 300.866
76700 301.115
76800 297.538
76900 295.204
77000 294.977
77100 300.179
77200 301.349
77300 299.668
77400 295.409
77500 295.936
77600 300.408
77700 304.764
77800 304.502
77900 296.952
78000 297.063
78100 298.414
78200 298.878
78300 299.722
78400 295.734
78500 294.497
78600 295.477
78700 298.868
78800 299.549
78900 295.458
79000 297.703
79100 302.507
79200 304.862
79300 300.649
79400 298.501
79500 296.99
79600 294.961
79700 295.694
79800 298.218
79900 298.903
80000 300.059
80100 298.485
80200 296.47
80300 297.502
80400 299.271
80500 298.199
80600 297.312
80700 298.561
80800 296.016
80900 297.381
81000 299.807
81100 304.904
81200 299.616
81300 297.382
81400 297.54
81500 300.033
81600 296.474
81700 291.57
81800 296.202
81900 298.651
82000 297.993
82100 297.151
82200 300.298
82300 300.285
82400 298.819
82500 303.304
82600 299.92
82700 297.42
82800 296.527
82900 299.852
83000 296.225
83100 297.209
83200 298.665
83300 300.8
83400 300.675
83500 296.112
83600 294.77
83700 297.53
83800 300.523
83900 299.368
84000 294.57
84100 301.542
84200 296.795
84300 294.572
84400 296.143
84500 290.05
84600 296.154
84700 302.229
84800 296.774
84900 296.461
85000 295.139
85100 299.291
85200 299.462
85300 299.667
85400 299.811
85500 296.176
85600 292.79
85700 298.73
85800 300.524
85900 298.716
86000 298.091
86100 298.48
86200 294.953
86300 298.637
86400 300.174
86500 299.822
86600 299.515
86700 295.024
86800 296.107
86900 300.321
87000 299.059
87100 296.298
87200 297.396
87300 297.11
87400 294.311
87500 296.034
87600 303.38
87700 298.033
87800 297.982
87900 296.481
88000 297.235
88100 291.995
88200 298.947
88300 298.741
88400 297.847
88500 301.293
88600 304.47
88700 295.639
88800 297.988
88900 299.103
89000 298.664
89100 292.778
89200 294.047
89300 294.897
89400 298.776
89500 297.759
89600 301.671
89700 292.757
89800 295.668
89900 298.803
90000 296.41
90100 297.451
90200 298.057
90300 297.813
90400 301.615
90500 296.595
90600 293.467
90700 296.454
90800 297.362
90900 300.179
91000 301.696
91100 297.041
91200 298.078
91300 297.284
91400 297.72
91500 300.819
91600 301.997
91700 297.92
91800 295.07
91900 299.842
92000 296.832
92100 292.415
92200 295.817
92300 298.661
92400 296.598
92500 300.979
92600 300.582
92700 297.165
92800 298.087
92900 298.983
93000 298.073
93100 293.586
93200 294.446
93300 297.593
93400 299.345
93500 298.762
93600 295.601
93700 299.734
93800 300.37
93900 300.832
94000 300.274
94100 294.371
94200 298.91
94300 297.927
94400 296.933
94500 295.952
94600 295.075
94700 296.2
94800 297.343
94900 300.702
95000 296.077
95100 297.952
95200 295.89
95300 295.782
95400 294.782
95500 299.312
95600 299.626
95700 298.122
95800 294.768
95900 294.039
96000 302.074
96100 300.618
96200 298.326
96300 296.334
96400 296.62
96500 298.301
96600 297.08
96700 295.338
96800 301.377
96900 301.102
97000 297.652
97100 298.241
97200 296.513
97300 294.086
97400 300.668
97500 302.938
97600 298.824
97700 296.665
97800 294.709
97900 299.418
98000 301.715
98100 299.525
98200 296.258
98300 296.692
98400 302.34
98500 305.928
98600 304.019
98700 300.192
98800 297.213
98900 296.938
99000 295.826
99100 301.208
99200 303.902
99300 295.701
99400 295.026
99500 295.584
99600 297.453
99700 301.017
99800 298.158
99900 295.528
100000 297.89
100100 299.835
100200 295.301
100300 299.162
100400 301.92
100500 300.899
100600 299.072
100700 297.199
100800 295.51
100900 295.421
101000 300.388
101100 299.727
101200 296.758
101300 300.02
101400 298.711
101500 296.364
101600 292.694
101700 297.629
101800 299.897
101900 294.864
102000 302.678
102100 303.336
102200 303.666
102300 302.363
102400 296.626
102500 302.474
102600 297.061
102700 294.782
102800 296.914
102900 299.891
103000 299.065
103100 299.939
103200 298.386
103300 299.865
103400 293.795
103500 297.117
103600 301.227
103700 298.851
103800 298.752
103900 297.162
104000 297.355
104100 293.774
104200 293.689
104300 297.986
104400 300.504
104500 297.243
104600 299.825
104700 296.782
104800 295.202
104900 296.848
105000 298.306
105100 299.724
105200 296.264
105300 297.803
105400 296.838
105500 300.028
105600 297.864
105700 294.988
105800 297.333
105900 298.807
106000 301.484
106100 300.983
106200 292.604
106300 295.044
106400 296.34
106500 298.337
106600 298.839
106700 297.789
106800 293.435
106900 296.857
107000 299.998
107100 303.975
107200 296.285
107300 297.29
107400 296.948
107500 298.947
107600 304.274
107700 300.233
107800 301.002
107900 300.162
108000 296.412
108100 297.067
108200 299.65
108300 299.264
108400 300.596
108500 298.894
108600 298.205
108700 293.915
108800 299.193
108900 299.875
109000 292.834
109100 292.703
109200 296.905
109300 299.307
109400 297.117
109500 297.964
109600 299.101
109700 301.313
109800 300.163
109900 297.302
110000 294.942
110100 296.993
110200 300.2
110300 300.944
110400 294.835
110500 292.606
110600 294.902
110700 301.147
110800 300.319
110900 296.972
111000 293.846
111100 296.167
111200 299.84
111300 300.672
111400 299.883
111500 295.489
111600 299.863
111700 297.248
111800 294.045
111900 296.054
112000 300.373
112100 297.449
112200 296.356
112300 293.621
112400 292.418
112500 295.309
112600 300.179
112700 297.978
112800 299.648
112900 294.735
113000 296.114
113100 296.93
113200 300.068
113300 300.271
113400 299.05
113500 298.155
113600 294.293
113700 293.761
113800 297.93
113900 299.923
114000 297.065
114100 297.328
114200 298.001
114300 297.843
114400 301.699
114500 297.153
114600 298.891
114700 293.575
114800 295.57
114900 298.325
115000 300.743
115100 298.012
115200 294.474
115300 292.653
115400 295.151
115500 298.813
115600 298.853
115700 300.6
115800 303.721
115900 294.241
116000 299.145
116100 296.238
116200 299.717
116300 300.67
116400 304.041
116500 297.448
116600 297.285
116700 296.722
116800 297.493
116900 305.332
117000 299.439
117100 296.548
117200 297.683
117300 298.153
117400 297.105
117500 299.827
117600 298.655
117700 298.266
117800 293.271
117900 294.253
118000 295.628
118100 299.695
118200 302.58
118300 292.853
118400 294.577
118500 300.06
118600 301.142
118700 296.609
118800 298.831
118900 298.141
119000 294.569
119100 294.019
119200 292.839
119300 296.092
119400 299.434
119500 298.278
119600 300.59
119700 297.959
119800 294.635
119900 296.318
120000 299.371
120100 303.686
120200 303.852
120300 300.422
120400 299.074
120500 295.329
120600 295.696
120700 300.048
120800 300.557
120900 296.962
121000 297.303
121100 298.533
121200 297.072
121300 298.221
121400 298.457
121500 296.502
121600 295.916
121700 298.055
121800 298.621
121900 301.309
122000 298.553
122100 295.09
122200 293.337
122300 298.348
122400 296.99
122500 296.58
122600 302.157
122700 301.168
122800 296.136
122900 294.564
123000 300.544
123100 300.83
123200 291.314
123300 294.515
123400 300.804
123500 300.422
123600 297.782
123700 296.203
123800 298.016
123900 297.79
124000 302.133
124100 300.56
124200 298.589
124300 296.865
124400 297.307
124500 299.792
124600 296.201
124700 295.398
124800 300.03
124900 295.828
125000 296.168
125100 297.629
125200 300.035
125300 300.202
125400 298.513
125500 296.428
125600 295.281
125700 299.056
125800 293.372
