# Time-averaged data for fix PressAve
# TimeStep c_P
37200 387.311
37300 159.503
37400 135.331
37500 72.3197
37600 52.621
37700 150.195
37800 56.0404
37900 140.729
38000 69.8142
38100 -89.7648
38200 169.711
38300 -67.653
38400 70.6865
38500 241.04
38600 28.7654
38700 156.193
38800 -164.013
38900 -158.83
39000 166.023
39100 207.565
39200 46.7431
39300 -165.729
39400 46.2662
39500 -39.9263
39600 -70.0802
39700 6.8434
39800 -101.176
39900 67.1472
40000 -216.931
40100 151.061
40200 107.643
40300 -197.886
40400 -16.4217
40500 71.2018
40600 -252.062
40700 -207.846
40800 18.5293
40900 192.047
41000 100.843
41100 225.134
41200 19.7747
41300 19.7233
41400 344.599
41500 219.261
41600 257.999
41700 162.728
41800 192.313
41900 -85.4923
42000 42.0709
42100 -1.35813
42200 -275.937
42300 -30.0236
42400 -98.7069
42500 16.009
42600 -12.7535
42700 -68.0452
42800 -76.1165
42900 -177.268
43000 62.3106
43100 46.8433
43200 185.082
43300 115.207
43400 170.43
43500 73.5919
43600 -212.732
43700 -228.219
43800 63.3936
43900 2.49263
44000 -53.8471
44100 271.378
44200 161.918
44300 -6.71062
44400 29.8938
44500 140.834
44600 233.675
44700 136.803
44800 -224.309
44900 -228.746
45000 -3.90413
45100 27.5645
45200 -84.8681
45300 61.8438
45400 102.315
45500 5.04363
45600 -28.9031
45700 160.2
45800 242.155
45900 174.341
46000 57.2557
46100 109.288
46200 19.6691
46300 20.9186
46400 208.736
46500 2.14517
46600 73.6622
46700 -64.8397
46800 -54.409
46900 -29.0192
47000 147.439
47100 -8.68454
47200 -200.703
47300 -120.674
47400 -50.4293
47500 -71.7818
47600 -246.359
47700 53.3989
47800 -16.4789
47900 -228.543
48000 -140.73
48100 26.539
48200 102.538
48300 -424.634
48400 -397.64
48500 -178.715
48600 -13.9934
48700 87.7597
48800 200.929
48900 166.886
49000 -17.8342
49100 -141.492
49200 18.4175
49300 -53.5675
49400 -17.6521
49500 158.433
49600 54.3551
49700 -82.2701
49800 122.065
49900 -135.99
50000 112.012
50100 -328.016
50200 176.488
50300 332.067
50400 122.337
50500 -7.43503
50600 -77.3521
50700 95.8884
50800 -67.0721
50900 -190.46
51000 20.7522
51100 -79.4724
51200 -134.621
51300 111.168
51400 94.8206
51500 27.7518
51600 41.9627
51700 -113.187
51800 33.1594
51900 153.098
52000 -12.9656
52100 -336.677
52200 -22.4315
52300 255.268
52400 69.6688
52500 -23.7845
52600 -161.663
52700 -54.4737
52800 77.4365
52900 2.12472
53000 108.675
53100 71.3461
53200 -109.149
