# Radius 	finiterdf__wat_wat	rdf__wat_wat	finiterdf__wat_met	rdf__wat_met	finiterdf__met_met	rdf__met_met	
2.97617 2.29884	2.30243	1.35056	1.3505	0.756313	0.756737	
2.99231 2.11474	2.11808	1.24248	1.24243	0.694606	0.694991	
3.00844 1.94797	1.95109	1.14426	1.14421	0.642319	0.64267	
3.02457 1.79735	1.80026	1.05775	1.05771	0.594114	0.594435	
3.0407 1.6635	1.66621	0.978306	0.978269	0.551708	0.552001	
3.05683 1.54551	1.54805	0.910393	0.910357	0.514146	0.514414	
3.07296 1.44073	1.4431	0.848134	0.848098	0.481117	0.481363	
3.08909 1.3487	1.35094	0.794305	0.794268	0.452939	0.453166	
3.10522 1.26507	1.26717	0.746908	0.74687	0.428726	0.428935	
3.12135 1.19625	1.19824	0.704769	0.704728	0.406455	0.406648	
3.13748 1.13432	1.13622	0.669433	0.66939	0.388304	0.388484	
3.15362 1.07811	1.07991	0.636224	0.636178	0.373083	0.373251	
3.16975 1.03186	1.03358	0.609168	0.609119	0.360587	0.360744	
3.18588 0.988037	0.989688	0.585739	0.585686	0.348279	0.348426	
3.20201 0.953791	0.955384	0.56531	0.565253	0.340736	0.340874	
3.21814 0.922601	0.92414	0.548649	0.548589	0.334002	0.334133	
3.23427 0.894204	0.895693	0.533799	0.533735	0.329318	0.329442	
3.2504 0.872974	0.874425	0.521938	0.52187	0.325658	0.325776	
3.26653 0.854414	0.855832	0.511513	0.51144	0.322655	0.322767	
3.28266 0.836082	0.837466	0.503179	0.503102	0.321188	0.321294	
3.29879 0.824471	0.825833	0.497765	0.497683	0.321671	0.321772	
3.31493 0.811134	0.81247	0.493204	0.493117	0.323188	0.323285	
3.33106 0.801465	0.802782	0.489764	0.489671	0.323808	0.3239	
3.34719 0.792911	0.794209	0.488432	0.488334	0.328153	0.328241	
3.36332 0.787874	0.78916	0.487598	0.487494	0.330511	0.330594	
3.37945 0.783081	0.784356	0.486979	0.486869	0.334977	0.335055	
3.39558 0.778939	0.780202	0.48934	0.489224	0.34032	0.340394	
3.41171 0.776782	0.778038	0.491411	0.491287	0.344757	0.344827	
3.42784 0.774052	0.775299	0.494981	0.49485	0.351814	0.35188	
3.44397 0.774459	0.775702	0.497602	0.497464	0.359691	0.359752	
3.4601 0.773737	0.774974	0.502881	0.502736	0.366774	0.36683	
3.47624 0.774462	0.775696	0.508462	0.508309	0.374856	0.374908	
3.49237 0.776123	0.777355	0.513787	0.513625	0.383942	0.383989	
3.5085 0.779786	0.78102	0.521006	0.520835	0.39227	0.392311	
3.52463 0.779028	0.780255	0.527165	0.526986	0.401841	0.401877	
3.54076 0.781621	0.782848	0.534727	0.534539	0.412546	0.412577	
3.55689 0.784758	0.785986	0.543002	0.542804	0.424321	0.424345	
3.57302 0.78874	0.78997	0.551191	0.550983	0.43408	0.434099	
3.58915 0.792239	0.793469	0.559391	0.559173	0.44492	0.444932	
3.60528 0.795836	0.797067	0.568785	0.568557	0.456984	0.45699	
3.62141 0.80169	0.802927	0.578087	0.577848	0.469068	0.469066	
3.63755 0.806603	0.807842	0.587473	0.587224	0.481887	0.481878	
3.65368 0.812187	0.81343	0.598231	0.59797	0.494525	0.494509	
3.66981 0.816486	0.817732	0.608671	0.608398	0.507397	0.507373	
3.68594 0.821744	0.822994	0.619036	0.618752	0.521451	0.521419	
3.70207 0.82634	0.827592	0.629654	0.629358	0.535448	0.535409	
3.7182 0.831886	0.833142	0.640191	0.639884	0.549158	0.54911	
3.73433 0.837904	0.839165	0.652191	0.651871	0.563738	0.563682	
3.75046 0.844042	0.845309	0.663759	0.663427	0.577585	0.57752	
3.76659 0.849186	0.850457	0.675262	0.674917	0.592724	0.59265	
3.78273 0.856368	0.857646	0.686228	0.685871	0.608461	0.608378	
3.79886 0.863014	0.864298	0.698807	0.698437	0.621873	0.621781	
3.81499 0.870255	0.871546	0.710857	0.710474	0.638493	0.638391	
3.83112 0.876636	0.877934	0.723261	0.722865	0.653336	0.653225	
3.84725 0.884849	0.886155	0.735244	0.734835	0.668844	0.668723	
3.86338 0.891023	0.892336	0.748066	0.747644	0.684483	0.684352	
3.87951 0.898336	0.899656	0.759439	0.759005	0.700147	0.700007	
3.89564 0.903837	0.905162	0.772866	0.772418	0.717064	0.716913	
3.91177 0.912408	0.913744	0.784646	0.784186	0.731975	0.731815	
3.9279 0.920879	0.922224	0.796711	0.796239	0.749256	0.749085	
3.94404 0.926416	0.927767	0.809748	0.809263	0.765591	0.765411	
3.96017 0.936871	0.938236	0.822298	0.821801	0.7823	0.78211	
3.9763 0.943102	0.944475	0.833719	0.83321	0.797289	0.79709	
3.99243 0.951278	0.952661	0.84672	0.846198	0.813753	0.813545	
4.00856 0.959719	0.961113	0.85893	0.858397	0.829727	0.82951	
4.02469 0.968231	0.969636	0.870658	0.870114	0.845955	0.845729	
4.04082 0.975682	0.977097	0.883158	0.882603	0.861236	0.861002	
4.05695 0.983993	0.985419	0.894884	0.894318	0.877334	0.877092	
4.07308 0.992734	0.994173	0.906655	0.906078	0.89419	0.89394	
4.08921 1.00036	1.00181	0.918822	0.918234	0.908682	0.908424	
4.10535 1.00873	1.01019	0.929914	0.929317	0.924643	0.924378	
4.12148 1.01663	1.0181	0.940922	0.940316	0.939902	0.939631	
4.13761 1.02424	1.02573	0.953091	0.952476	0.955066	0.954789	
4.15374 1.03074	1.03223	0.963197	0.962574	0.971224	0.970942	
4.16987 1.03982	1.04133	0.975512	0.97488	0.986088	0.985801	
4.186 1.04694	1.04847	0.98579	0.985151	1.00132	1.00103	
4.20213 1.05513	1.05667	0.996389	0.995743	1.0156	1.0153	
4.21826 1.06083	1.06237	1.00718	1.00653	1.03071	1.03041	
4.23439 1.06794	1.06951	1.01683	1.01617	1.04398	1.04368	
4.25052 1.07495	1.07653	1.02759	1.02692	1.05946	1.05916	
4.26666 1.08227	1.08386	1.03759	1.03693	1.0711	1.07079	
4.28279 1.08991	1.09152	1.04748	1.04681	1.08664	1.08634	
