# Time-averaged data for fix TEAve
# TimeStep v_TotEn
67400 -16211.7
67500 -16185.9
67600 -16103.8
67700 -16024.7
67800 -16095.8
67900 -16163.8
68000 -16216
68100 -16192.2
68200 -16166.2
68300 -16164.5
68400 -16202.1
68500 -16263.9
68600 -16274.9
68700 -16272.3
68800 -16245.2
68900 -16177.6
69000 -16097.5
69100 -16111.4
69200 -16185.6
69300 -16297.5
69400 -16294.3
69500 -16233.1
69600 -16159.9
69700 -16125
69800 -16104
69900 -16106.8
70000 -16188.2
70100 -16217.3
70200 -16214.7
70300 -16254.2
70400 -16337.6
70500 -16390.4
70600 -16324.2
70700 -16206.3
70800 -16232.6
70900 -16287.7
71000 -16296.2
71100 -16202.9
71200 -16135.2
71300 -16109.4
71400 -16086.9
71500 -16122.9
71600 -16230.1
71700 -16256.3
71800 -16187
71900 -16163
72000 -16208.5
72100 -16279.1
72200 -16368
72300 -16318.7
72400 -16225.9
72500 -16194.6
72600 -16204.5
72700 -16282.7
72800 -16346.7
72900 -16287.1
73000 -16206.3
73100 -16197.2
73200 -16231.7
73300 -16301.6
73400 -16249.1
73500 -16170.3
73600 -16186.9
73700 -16234.4
73800 -16240.8
73900 -16174.8
74000 -16092.5
74100 -16086.9
74200 -16183.8
74300 -16261.8
74400 -16265.1
74500 -16231.5
74600 -16184.8
74700 -16174.4
74800 -16236.3
74900 -16274.5
75000 -16224.9
75100 -16152
75200 -16202.8
75300 -16233.5
75400 -16234.3
75500 -16286
75600 -16333.7
75700 -16252.2
75800 -16197.2
75900 -16144.5
76000 -16096.9
76100 -16053.5
76200 -16098.8
76300 -16205.2
76400 -16256.6
76500 -16271.1
76600 -16226.5
76700 -16162.3
76800 -16146.3
76900 -16152
77000 -16193.2
77100 -16269.2
77200 -16260.5
77300 -16204.7
77400 -16145
77500 -16086.9
77600 -16130.5
77700 -16226.7
77800 -16248.5
77900 -16216.9
78000 -16169.3
78100 -16166.8
78200 -16174.3
78300 -16184.3
78400 -16222.7
78500 -16272
78600 -16239.1
78700 -16191.9
78800 -16197.1
78900 -16197.2
79000 -16203
79100 -16263.2
79200 -16315.3
79300 -16272.6
79400 -16179.3
79500 -16205.1
79600 -16220.1
79700 -16225.7
79800 -16244.8
79900 -16274.5
80000 -16370
80100 -16375.3
80200 -16291.8
80300 -16216.8
80400 -16199.1
80500 -16233.5
80600 -16302.2
80700 -16362.5
80800 -16302.5
80900 -16224.7
81000 -16242.7
81100 -16267.6
81200 -16199.1
81300 -16088.1
81400 -16127.8
81500 -16211.5
81600 -16259.9
81700 -16242.7
81800 -16134.9
81900 -16132.5
82000 -16199.4
82100 -16254
82200 -16254.8
82300 -16136.8
82400 -16118.6
82500 -16190
82600 -16237.9
82700 -16268.5
82800 -16269.9
82900 -16203.1
83000 -16172.9
83100 -16215.3
83200 -16247.5
83300 -16251.5
83400 -16221.4
83500 -16155.5
83600 -16078.1
83700 -16039.4
83800 -16119
83900 -16175.5
84000 -16190.8
84100 -16250
84200 -16275.1
84300 -16195.9
84400 -16142.3
84500 -16154.9
84600 -16253.3
84700 -16298.6
84800 -16221.8
84900 -16171.9
85000 -16159
85100 -16194.1
85200 -16304
85300 -16383
85400 -16355.6
85500 -16278.9
85600 -16256.9
85700 -16274.1
85800 -16238.3
85900 -16158.6
86000 -16136.7
86100 -16249.8
86200 -16269.6
86300 -16218.8
86400 -16156.2
86500 -16105.3
86600 -16193.4
86700 -16259.8
86800 -16247.3
86900 -16160.7
87000 -16117.4
87100 -16203
87200 -16271.4
87300 -16229.5
87400 -16163.5
87500 -16160.5
87600 -16212.3
87700 -16293.9
87800 -16264.8
87900 -16160.9
88000 -16066.9
88100 -16079.6
88200 -16107.2
88300 -16120.2
88400 -16197.8
88500 -16256.3
88600 -16289.7
88700 -16207.5
88800 -16112.3
88900 -16143.3
89000 -16202.2
89100 -16209.4
89200 -16140.6
89300 -16012
89400 -15990.3
89500 -16031.3
89600 -16085
89700 -16145.9
89800 -16214.9
89900 -16295.8
90000 -16366
90100 -16357.6
90200 -16245.1
90300 -16185.4
90400 -16203.9
90500 -16278.8
90600 -16346.5
90700 -16394.4
90800 -16457.9
90900 -16383
91000 -16286.5
91100 -16258.2
91200 -16247.5
91300 -16217.2
91400 -16157.3
91500 -16174.9
91600 -16258.5
91700 -16241.7
91800 -16150.2
91900 -16134.4
92000 -16188.5
92100 -16226.4
92200 -16190.7
92300 -16095.8
92400 -16018.7
92500 -16014.7
92600 -16086.9
92700 -16193.4
92800 -16158.9
92900 -16087.5
93000 -16078.7
93100 -16159.1
93200 -16177.9
93300 -16166.7
93400 -16165.2
93500 -16204.8
93600 -16240.1
93700 -16260.8
93800 -16191.2
93900 -16101.1
94000 -16087.4
94100 -16166.3
94200 -16222.2
94300 -16213.8
94400 -16134.9
94500 -16073.9
94600 -16040.4
94700 -16001.8
94800 -16009.1
94900 -16122.8
95000 -16144.1
95100 -16140
95200 -16153
95300 -16106.1
95400 -16081
95500 -16120.1
95600 -16205.8
95700 -16185.7
95800 -16139
95900 -16101.1
96000 -16020.6
96100 -16037.4
96200 -16125.1
96300 -16162.2
96400 -16145.2
96500 -16054.5
96600 -16001.9
96700 -16079.7
96800 -16142.7
96900 -16171.5
97000 -16199.6
97100 -16250.6
97200 -16335.4
97300 -16402.3
97400 -16316.2
97500 -16206.7
97600 -16180.8
97700 -16225.6
97800 -16279
97900 -16272.6
98000 -16162
98100 -16136.9
98200 -16165.8
98300 -16235.5
98400 -16284.8
98500 -16389.3
98600 -16472.9
98700 -16380.6
98800 -16270.5
98900 -16223.7
99000 -16257.1
99100 -16338.5
99200 -16347.2
99300 -16319.7
99400 -16208.5
99500 -16194.7
99600 -16274.7
99700 -16300.3
99800 -16265.2
99900 -16217
100000 -16154.3
100100 -16149.9
100200 -16190
100300 -16197.9
100400 -16112.9
100500 -16041.2
100600 -16064.4
100700 -16188.7
100800 -16202
100900 -16135.3
101000 -16080.5
101100 -16130.9
101200 -16222
101300 -16216.4
101400 -16156.9
101500 -16111.7
101600 -16149.3
101700 -16182.2
101800 -16156.3
101900 -16175.5
102000 -16239.3
102100 -16208
102200 -16095.7
102300 -16080.6
102400 -16087.3
102500 -16103.9
102600 -16058.3
102700 -16006.3
102800 -16015.7
102900 -16116.7
103000 -16165.3
103100 -16112.2
103200 -16056.1
103300 -16050.5
103400 -16065.3
103500 -16077.6
103600 -16202
103700 -16234.3
103800 -16147
103900 -16111.7
104000 -16148.5
104100 -16234.1
104200 -16257.4
104300 -16135.5
104400 -16059.8
104500 -16068.6
104600 -16090.2
104700 -16115.3
104800 -16183.1
104900 -16236.6
105000 -16169.4
105100 -16087.6
105200 -16075.6
105300 -16094.5
105400 -16202.9
105500 -16250.6
105600 -16218.5
105700 -16130.3
105800 -16103.8
105900 -16105.3
106000 -16133.5
106100 -16244.1
106200 -16268
106300 -16215.4
106400 -16117
106500 -16086.6
106600 -16091.1
106700 -16156.1
106800 -16223.7
106900 -16237.3
107000 -16243.6
107100 -16229
107200 -16167.9
107300 -16130
107400 -16130.9
107500 -16171.5
107600 -16275.3
107700 -16280.7
107800 -16221.9
107900 -16181.4
108000 -16067.1
108100 -16008.8
108200 -16097.2
108300 -16166.5
108400 -16167.2
108500 -16132.3
108600 -16065.7
108700 -16061.4
108800 -16174.4
108900 -16211.9
109000 -16160
109100 -16141.2
109200 -16204.4
109300 -16325.9
109400 -16380.9
109500 -16321.5
109600 -16254.8
109700 -16246.2
109800 -16257.8
109900 -16257.4
110000 -16318.2
110100 -16339.2
110200 -16262.3
110300 -16194.4
110400 -16193.7
110500 -16242.8
110600 -16268.6
110700 -16236.9
110800 -16185
110900 -16121.9
111000 -16067.2
111100 -16107.3
111200 -16214.7
111300 -16280.8
111400 -16296.9
111500 -16240.1
111600 -16133.5
111700 -16117.9
111800 -16177.6
111900 -16215.1
112000 -16244.4
112100 -16220.7
112200 -16118
112300 -16109.4
112400 -16197.9
112500 -16238.3
112600 -16197.6
112700 -16153.5
112800 -16179
112900 -16254.7
113000 -16297.2
113100 -16260.2
113200 -16171.7
113300 -16130.8
113400 -16174.1
113500 -16235.7
113600 -16301.8
113700 -16280.1
113800 -16162.8
113900 -16124
114000 -16171.6
114100 -16237.9
114200 -16256
114300 -16220.3
114400 -16134
114500 -16146.7
114600 -16226.6
114700 -16236.4
114800 -16237.8
114900 -16261.9
115000 -16289.2
115100 -16313
115200 -16241
115300 -16179
115400 -16160.2
115500 -16171.6
115600 -16263.3
115700 -16301.4
115800 -16254.5
115900 -16156.5
116000 -16124
116100 -16138.8
116200 -16188.6
116300 -16295.1
116400 -16321.8
116500 -16272.3
116600 -16225.8
116700 -16195.9
116800 -16128
116900 -16105.8
117000 -16208.9
117100 -16247.5
117200 -16227.7
117300 -16146.7
117400 -16098.6
117500 -16168.2
117600 -16246
117700 -16271.6
117800 -16198.6
117900 -16132.1
118000 -16139.4
