# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
16300 -16293.1 -20118.2 296.201 -157.055 0.87788
16400 -16291.8 -20114.7 296.03 -272.416 0.877345
16500 -16205.9 -20044.6 297.251 52.2209 0.879189
16600 -16128.1 -20025.6 301.809 221.741 0.880789
16700 -16161 -20065.8 302.375 91.1331 0.880277
16800 -16230.6 -20085.5 298.515 -121.237 0.878864
16900 -16258.2 -20104.2 297.824 17.6337 0.87828
17000 -16278.8 -20118.3 297.311 99.6202 0.877691
17100 -16312.2 -20113.6 294.367 -62.4177 0.876352
17200 -16293.8 -20111.8 295.648 121.743 0.87508
17300 -16210.3 -20087.8 300.26 -15.0561 0.8728
17400 -16187.2 -20061.9 300.044 -20.8415 0.870167
17500 -16228 -20073.5 297.783 -321.028 0.868137
17600 -16321.3 -20133.2 295.18 -52.3865 0.868329
17700 -16379.6 -20161.3 292.84 -250.938 0.869667
17800 -16315.5 -20132.7 295.586 88.0657 0.87342
17900 -16260.3 -20119.9 298.873 241.802 0.877459
18000 -16261.6 -20110.6 298.05 33.5074 0.879915
18100 -16255.6 -20093.5 297.191 328.124 0.881653
18200 -16217.5 -20099.6 300.61 91.808 0.880846
18300 -16198.6 -20063.2 299.261 -107.222 0.878473
18400 -16209.8 -20081.6 299.814 -18.4878 0.876571
18500 -16276.4 -20102.3 296.263 -50.2539 0.874636
18600 -16316.2 -20103.6 293.277 -295.412 0.873066
18700 -16233.2 -20077.8 297.709 -33.5068 0.874092
18800 -16161 -20032 299.755 30.1459 0.876115
18900 -16167 -20039.2 299.847 21.8693 0.877956
19000 -16218.7 -20059.7 297.428 40.0212 0.879802
19100 -16282.8 -20107.7 296.186 100.373 0.88159
19200 -16384.4 -20154.5 291.94 197.753 0.882701
19300 -16453.7 -20243.4 293.458 30.733 0.881939
19400 -16378.3 -20215.2 297.115 -14.9601 0.880613
19500 -16283.6 -20166.7 300.689 -143.138 0.879592
19600 -16275.4 -20118.3 297.575 17.8395 0.879428
19700 -16256.7 -20088.3 296.704 -18.3887 0.879486
19800 -16190 -20077.6 301.041 288.882 0.879292
19900 -16140 -20056.9 303.313 -85.2653 0.87684
20000 -16226.9 -20071.5 297.71 -104.002 0.874431
20100 -16285.1 -20071.1 293.177 -246.274 0.87335
20200 -16249 -20090.6 297.479 125.181 0.874005
20300 -16212 -20072.5 298.943 -105.636 0.874357
